"id","eqp_type_name","failure_cat","code","description","ErrorGroup","Status"
"67","EFO","Others",,"Other/Unknown",NULL,"1"
"68","EFO","Others",,"Out of order",NULL,"1"
"69","EFO","Others",,"KEY Board not working",NULL,"1"
"70","EFO","Others",,"NCMC Card not  recharge",NULL,"1"
"71","EFO","Hardware",,"Printer not working",NULL,"1"
"72","EFO","Others",,"Two way mic not working",NULL,"1"
"73","EFO","Others",,"Hanges",NULL,"0"
"74","EFO","Others",,"Date Time mismatch",NULL,"1"
"75","EFO","Others",,"PID NOT WORKING.",NULL,"1"
"76","EFO","Software",,"Auto booting",NULL,"1"
"77","EFO","Others",,"QR code not generating for UPI payment",NULL,"1"
"78","TOM","Others","0","Not generating QR",NULL,"0"
"79","TOM","Others","0","QR tickets not printing / generating",NULL,"0"
"80","EFO","Others",,"Mouse not working",NULL,"1"
"81","EFO","Others",,"Reader not working",NULL,"1"
"82","MTNL","Others","0","Hotline not working",NULL,"1"
"83","EPABX","Others","0","Emergency phone not working",NULL,"1"
"84","EPABX","Others","0","Digital phone not working",NULL,"1"
"85","EPABX","Others","0","Video phone not working",NULL,"1"
"86","EPABX","Others","0","Not on LAN",NULL,"1"
"87","EPABX","Software","0","Other/Unknown error",NULL,"1"
"88","EPABX","Others","0","EPABX Not working",NULL,"1"
"89","EPABX","Others","0","Analogue Phone not working",NULL,"1"
"90","EPABX","Others","0","Link down",NULL,"1"
"91","EPABX","Others","0","IP Phone not working",NULL,"1"
"94","GATE","Software","31","Amount Too Low",NULL,"1"
"95","GATE","Software","44","Ticket Out Of Date",NULL,"1"
"96","GATE","Software","35","Blacklist Ticket",NULL,"1"
"97","GATE","Software","129","Required Exit",NULL,"1"
"98","GATE","Software","130","Exit Mismatch",NULL,"1"
"99","GATE","Software","157","Not Sale Station",NULL,"1"
"100","GATE","Software","159","Excess Trip Time",NULL,"1"
"101","GATE","Software",,"Application not running",NULL,"1"
"102","GATE","Software",,"Blue Screen",NULL,"1"
"104","GATE","Others",,"Not getting booted",NULL,"1"
"105","GATE","Others",,"One flap remain open",NULL,"1"
"107","GATE","Others",,"Flap permanent open",NULL,"1"
"108","GATE","Others",,"One flap in-out",NULL,"1"
"109","GATE","Software",,"QR Not Working",NULL,"1"
"110","GATE","Hardware",,"Sensor Failure",NULL,"1"
"111","GATE","Others",,"Auto booting",NULL,"1"
"112","GATE","Others","217","Exit not confirmed",NULL,"1"
"113","GATE","Software","17","NCMC card not accepting",NULL,"1"
"114","GATE","Others","41","Link failure between MTU and EMM",NULL,NULL
"115","GATE","Others","159","Excess Time",NULL,"1"
"116","GATE","Hardware",,"EMM Faulty",NULL,"1"
"117","GATE","Software",,"Showing Error 215",NULL,"1"
"118","GATE","Others",,"Showing Time Mismatch",NULL,"1"
"119","GATE","Software",,"Showing Error",NULL,"1"
"120","GATE","Software",,"UPI not working",NULL,"1"
"122","GATE","Software",,"Incorrect Exit Station",NULL,"1"
"123","GATE","Software",,"Not sensing media",NULL,"1"
"124","GATE","Others",,"Display not working",NULL,"1"
"125","GATE","Software",,"Other/Unknown error",NULL,"1"
"126","GATE","Software",,"UPS Failure",NULL,"1"
"127","GATE","Software",,"Flap moving in and out",NULL,"1"
"128","GATE","Others","210","Already Exit",NULL,"1"
"129","GATE","Others",,"Gate OFF",NULL,"0"
"130","GATE","Software",,"Not accepting NCMC card",NULL,"1"
"131","GATE","Others",,"Flap not opening",NULL,"1"
"132","GATE","Others","109","No Entry",NULL,"1"
"133","GATE","Others","110","Making 110 (No Exit) error",NULL,"1"
"134","GATE","Software","44","Out of Date",NULL,"1"
"135","GATE","Software",,"Not On LAN",NULL,"1"
"137","GATE","Others",,"No power",NULL,"1"
"138","GATE","Others",,"Time Mismatch between Gate and TOM",NULL,"0"
"139","GATE","Others",,"Extra Passage",NULL,"1"
"140","GATE","Others",,"Hanged",NULL,"1"
"141","GATE","Software",,"Showing Errer",NULL,"1"
"143","GATE","Software",,"Out of Validity",NULL,"0"
"144","HHT",,"0","Out of service",NULL,"1"
"145","HHT","Others","0","Other/Unknown error",NULL,"1"
"146","HHT",,"0","Printer not working",NULL,"1"
"147","HHT","Others","0","HHT not working",NULL,"1"
"148","INTRANET",,"0","Internet not working",NULL,"1"
"149","IT","Others","0","SAP not Working",NULL,"1"
"150","IT","Others","0","Mouse not working",NULL,"1"
"151","IT","Others","0","CPU Faulty",NULL,"1"
"152","IT","Others","0","Intranet not working",NULL,"1"
"153","IT","Others","0","Printer Faulty",NULL,"1"
"154","IT","Others","0","Monitor Faulty",NULL,"1"
"155","MPLS","Others","0","Link down",NULL,"1"
"156","MPLS","Others","0","Showing Alarm",NULL,"1"
"157","NETWORKING","Others","0","Link down",NULL,"1"
"158","NETWORKING","Others","0","Mobile Network down",NULL,"1"
"159","NETWORKING","Software","0","Intranet not working",NULL,"1"
"160","NETWORKING","Others","0","Scada network down",NULL,"1"
"161","NETWORKING","Others","0","Other/Unknown error",NULL,"1"
"162","PAS/PIDS","Software","0","Pyco failure",NULL,"1"
"163","PAS/PIDS","Others","0","DSP Router faulty",NULL,"1"
"164","PAS/PIDS","Others","0","Volume low/high",NULL,"1"
"165","PAS/PIDS","Software","0","DOM Faulty",NULL,"1"
"166","PAS/PIDS","Software","0","Audio Matrix Faulty",NULL,"1"
"167","PAS/PIDS","Others","0","No Announcement",NULL,"1"
"168","PAS/PIDS","Software",,"Live PA not Ok",NULL,"1"
"169","PAS/PIDS","Others","0","Other/Unknown error",NULL,"1"
"170","PAS/PIDS","Others","0","Centraliged announcement failure",NULL,"1"
"171","PAS/PIDS","Others","0","Amplifier not working",NULL,"1"
"172","PAS/PIDS","Others","0","Mic not working",NULL,"1"
"173","PAS/PIDS","Others","0","ATS annoucment failure",NULL,"1"
"174","PAS/PIDS","Others","0","Speaker not working",NULL,"1"
"175","PDH","Others","0","E-1 link down",NULL,"1"
"176","PAS/PIDS","Software","0","Monitor Faulty",NULL,"1"
"177","PAS/PIDS","Others","0","MMI not working",NULL,"1"
"178","PAS/PIDS","Others","0","Application / OS not running",NULL,"1"
"179","PAS/PIDS","Others","0","Keyboard Faulty",NULL,"1"
"180","PAS/PIDS","Others","0","No data in PIDS",NULL,"1"
"181","PAS/PIDS","Others","0","Power failure",NULL,"1"
"182","PAS/PIDS","Others","0","Mouse Faulty",NULL,"1"
"183","PAS/PIDS","Others","0","Not on LAN",NULL,"1"
"184","PAS/PIDS","Others","0","Brightness low",NULL,"1"
"185","PAS/PIDS","Hardware","0","Display Flickering",NULL,"1"
"186","PAS/PIDS","Software","0","Server hang",NULL,"1"
"187","POS",,"0","Hanged ",NULL,"1"
"188","POS",,"0","Intermittent",NULL,"1"
"189","POS","Others","0","POS Machine not working",NULL,"1"
"190","POS","Others","0","Other/Unknown error",NULL,"1"
"191","RADIO","Software","0","Hand portable faulty",NULL,"1"
"192","RADIO","Software","0","RCW Faulty",NULL,"1"
"193","RADIO","Software","0","RCW Application not working",NULL,"1"
"194","RADIO","Others","0","Showing Alarm",NULL,"1"
"195","RADIO","Others","0","BR Not working",NULL,"1"
"196","RADIO","Others","0","No recording",NULL,"1"
"197","RADIO","Others","0","Radio link down",NULL,"1"
"198","RADIO","Others","0","No network coverage",NULL,"1"
"199","RADIO","Software","0","Power Supply faulty",NULL,"1"
"200","RADIO","Software","0","PTT Denied",NULL,"1"
"201","RADIO","Hardware","0","TSC not working",NULL,"1"
"202","RADIO","Others","0","BDA Faulty",NULL,"1"
"203","RADIO","Others","0","Fist mic not working",NULL,"1"
"204","RADIO","Others","0","RCH Faulty",NULL,"1"
"205","RCTM",,"0","Bank note rejected",NULL,"1"
"206","RCTM",,"0","Hanged ",NULL,"1"
"207","RCTM","Others","0","Other/Unknown error",NULL,"1"
"208","RCTM","Others","0","Showing Alarm",NULL,"1"
"209","RCTM",,"0","Topup/Recharge/QR code/Cash option not highlighted",NULL,"1"
"210","RCTM","Others","0","Printer not working",NULL,"1"
"211","RCTM",,"0","UPI not working",NULL,"1"
"212","RCTM","Others","0","Showing BNA /BNR Alarm",NULL,"1"
"213","RCTM","Others","0","SC CC not connected",NULL,"1"
"214","RCTM","Software","0","Not working",NULL,"1"
"215","RCTM","Others","0","Not accepting cash",NULL,"1"
"216","RCTM","Software","0","Display not working",NULL,"1"
"217","RCTM","Hardware","0","Keyboard not working",NULL,"1"
"218","RCTM","Software","0","Unable to login",NULL,"1"
"219","RCTM","Others","0","Bank note stuck",NULL,"1"
"220","RCTM","Software","0","Touch screen not working",NULL,"1"
"221","RCTM","Others","0","Lock faulty",NULL,"1"
"222","RCTM","Software","0","Bank note cut",NULL,"1"
"223","RCTM","Others","0","No power",NULL,"1"
"224","ROUTER","Software","0","Router failure",NULL,"1"
"225","SC","Others","0","Not on LAN",NULL,"1"
"226","SC","Software","0","Abnormal Sound coming from SC Server",NULL,"1"
"227","SC","Others","0","Keyboard not working",NULL,"1"
"228","SC","Others","0","Mouse not working",NULL,"1"
"229","SC","Others","0","Not getting ON",NULL,"1"
"230","SC","Others","0","Server Hang",NULL,"1"
"231","SC","Others","0","No display",NULL,"1"
"232","SC","Others","0","Power failure",NULL,"1"
"233","SC","Hardware","0","SC not working",NULL,"1"
"234","SC","Software","0","Services hang",NULL,"0"
"235","SC","Software","0","AFC SC portal not working.",NULL,"1"
"236","SCVM",,"0","BNA/BNR Failure",NULL,"1"
"237","SCVM","Others",,"Bank note stucked/rejected",NULL,"1"
"238","SCVM","Others",,"Hanged",NULL,"1"
"239","SCVM","Others",,"Not on LAN",NULL,"1"
"240","SCVM",,"0","Out of service",NULL,"1"
"241","SCVM",,"0","Not getting on",NULL,"1"
"242","SCVM",,"0","Topup/Recharge/QR code/Cash option not highlighted",NULL,"1"
"243","SCVM",,"0","Printer not working",NULL,"1"
"244","SCVM",,"0","SC CC not connected .",NULL,"1"
"245","SDH","Software","0","Link Down",NULL,"1"
"246","SDH","Software","0","Showing Alarm",NULL,"1"
"247","SDH","Software","0","Power failure",NULL,"1"
"248","SDH","Others","0","Card faulty",NULL,"1"
"249","SDH/FMX",,"0","Link down",NULL,"1"
"250","SDH/FMX",,"0","Power failure",NULL,"1"
"251","SDH/FMX",,"0","Card faulty",NULL,"1"
"252","SDH/FMX",,"0","Alarm",NULL,"1"
"253","SDH/MPLS","Software","0","Alarm",NULL,"1"
"254","SDH/MPLS","Software","0","Link down",NULL,"1"
"255","SDH/MPLS","Software","0","Power failure",NULL,"1"
"256","SDH/MPLS","Software","0","Card faulty",NULL,"1"
"257","SMPS","Others","0","CSU Faulty",NULL,"1"
"258","SMPS","Others","0","SMR Faulty",NULL,"1"
"259","SMPS","Software","0","Not on LAN",NULL,"1"
"260","SMPS","Hardware","0","Showing Alarm",NULL,"1"
"261","Swing barrier",,"0","Out of service",NULL,"1"
"262","IT SWITCH","Hardware","0","Switch Faulty",NULL,"1"
"263","EPABX","Hardware","0","Switch not working",NULL,"0"
"265","TELEPHONE","Others","0","Hotline not working",NULL,"1"
"266","TELEPHONE","Others","0","Emergency phone not working",NULL,"1"
"267","TELEPHONE","Others","0","Digital phone not working",NULL,"1"
"268","TELEPHONE","Others","0","Video phone not working",NULL,"1"
"269","TELEPHONE","Others","0","Not on LAN",NULL,"1"
"270","TELEPHONE","Software","0","Cable faulty",NULL,"1"
"271","TELEPHONE","Others","0","EPABX Not working",NULL,"1"
"272","TELEPHONE","Others","0","Analogue Phone not working",NULL,"1"
"273","TELEPHONE","Others","0","Link down",NULL,"1"
"274","TELEPHONE","Others","0","IP Phone not working",NULL,"1"
"275","TOM","Others","0","Not On LAN",NULL,"0"
"276","TOM","Others","0","Not accepting/sensing media",NULL,"0"
"277","TOM","Others","0","Topup/Recharge/QR code/Cash option not highlighted",NULL,"0"
"278","TOM",,"0","Not accepting Login ID",NULL,"1"
"279","TOM",,"0","PID No Display ",NULL,"1"
"280","TOM",,"0","Hanged",NULL,"1"
"281","TOM","Others","0","Out of service",NULL,"0"
"282","TOM","Others","0","Others / Miscellaneous",NULL,"1"
"283","TOM","Software","0","Speaker not working",NULL,"0"
"284","TOM","Software","0","Out of order",NULL,"0"
"285","TOM","Others","0","Keyboard not working",NULL,"1"
"286","TOM","Others","0","Blank screen",NULL,"1"
"287","TOM","Others","0","QR not reading/ Zebra not working",NULL,"1"
"288","TOM","Others","0","Two way MIC not working",NULL,"0"
"289","TOM","Software","0","Issuing Invalid QR Ticket",NULL,"1"
"290","TOM","Others","0","NCMC Card not sensing / adjusting",NULL,"1"
"291","TOM","Others","0","End of shift not generating",NULL,"1"
"292","TOM","Others","0","Not generating QR Tickets.",NULL,"0"
"293","TOM","Others","0","Card reader not working",NULL,"1"
"294","TOM","Others","0","Not working",NULL,"0"
"295","TOM","Others","0","POS machine network not available",NULL,"1"
"296","TOM","Others","0","Card not recharge",NULL,"1"
"297","TOM","Hardware","0","Pax machin not working",NULL,"1"
"298","TOM","Software","0","TOM Not working",NULL,"1"
"299","TOM","Others","0","QR not genrated for UPI payment",NULL,"1"
"300","TOM","Others","0","Date Time mismatch",NULL,"1"
"301","TOM","Others","0","MOUSE NOT WORKING.",NULL,"1"
"302","TOM","Software","0","Auto booting",NULL,"1"
"303","TOM","Others","0","UPI payment not working",NULL,"1"
"304","TOM","Others","0","Not generating QR",NULL,"0"
"305","TOM","Others","0","QR tickets not printing / generating",NULL,"1"
"306","TOM","Others","0","Automatically off",NULL,"1"
"307","TOM","Others","0","Reader not working",NULL,"0"
"308","TVM","Others",,"Showing Alarm in BNA/BNR",NULL,"1"
"309","TVM","Others",,"BNA / BNR Failure",NULL,"1"
"310","TVM","Others",,"Not on LAN",NULL,"1"
"311","TVM","Software",,"Camera recording not working",NULL,"1"
"312","TVM","Software",,"Keyboard not working",NULL,"1"
"313","TVM","Others",,"Out of service",NULL,"1"
"314","TVM","Others",,"Topup/Recharge/QR code/Cash option not highlighted",NULL,"1"
"315","TVM","Others",,"Not getting booted",NULL,"1"
"316","TVM","Others",,"PID not working",NULL,"1"
"317","TVM","Others",,"UPI not working",NULL,"1"
"318","TVM","Others",,"Door Lock faulty",NULL,"1"
"319","TVM","Others",,"Blue Screen",NULL,"1"
"320","TVM","Others",,"Bank note stuck",NULL,"1"
"321","TVM","Others",,"No display",NULL,"1"
"322","TVM","Others",,"Not getting ON",NULL,"1"
"323","TVM","Software",,"Not sensing media",NULL,"1"
"324","TVM","Software",,"Cut note accepted",NULL,"1"
"325","TVM","Software",,"Application close",NULL,"1"
"326","TVM","Software",,"Cash mismatch",NULL,"1"
"327","TVM","Others",,"Printer Failure",NULL,"1"
"328","TVM","Others",,"ID not accepting",NULL,"1"
"330","TVM","Others",,"Not accepting bank note",NULL,"1"
"331","TVM","Hardware",,"Print not clear",NULL,"1"
"332","TVM","Hardware",,"Chassis faulty",NULL,"1"
"334","TVM","Others",,"QR Not generated on resetting printer",NULL,"1"
"335","TVM","Hardware",,"Hanged",NULL,"1"
"336","TVM","Others",,"End of shift not generated",NULL,"1"
"337","TVM","Others",,"Date time mismatch",NULL,"1"
"338","TVM","Software",,"Out of order",NULL,"1"
"339","TVM","Software",,"Transaction not showing on SC",NULL,"1"
"340","TVM","Others",,"Debit/Credit card/POS not accepting",NULL,"1"
"341","TVM","Others",,"Touch screen not working",NULL,"1"
"342","CCTV","Others","0","SCR CCTV MMI not working",NULL,"0"
"343","TVM","Others",,"Cash stucked",NULL,"1"
"344","RADIO","Others","0","Voice missing",NULL,"1"
"345","PAS/PIDS","Others","0","PIDS showing wrong data",NULL,"1"
"346","RADIO","Others","0","Zetron not working",NULL,"1"
"347","TOM","Software","0","QR Scanner not working",NULL,"1"
"348","PAS/PIDS","Others","0","Other/Unknown error",NULL,"1"
"349","RADIO","Others","0","Train radio not working",NULL,"1"
"350","TVM","Others",,"Recycler failure",NULL,"1"
"351","GATE","Hardware",,"Both flap open",NULL,"1"
"352","CLOCK","Hardware","0","Not in LAN",NULL,"1"
"353","EPABX","Others","0","Mass no-22/160 Flashing issue",NULL,"0"
"354","PAS/PIDS","Others","0","No data on PIDS",NULL,"0"
"355","SDH","Others","0","SDH not accessible",NULL,"1"
"356","EPABX","Hardware","0","Telephone extn-290223 not working",NULL,"0"
"357","CCTV","Hardware",,"CCTV MMI not working",NULL,"1"
"358","CCTV","Others","0","CAMERA Missalinged",NULL,"1"
"359","CCTV","Others",,"Camera view not clear",NULL,"1"
"360","SWITCH","Hardware","0","Switch not working",NULL,"1"
"361","GATE","Others",,"Out of service",NULL,"1"
"362","CCTV","Others","0","Camera Not on LAN",NULL,"0"
"363","EPABX","Others","0","Telephone not working",NULL,"0"
"364","CCTV","Hardware","0","NVR Not working",NULL,"1"
"365","PAS/PIDS","Software","0","PIDS hanged",NULL,"1"
"366","TVM","Hardware",,"Failure receipt accounted as QR ticket",NULL,"1"
"367","GATE","Hardware",,"CSC media not working",NULL,"1"
"368","CCTV","Software","CCTV-CISF","WS not working",NULL,"0"
"369","PAS/PIDS","Others",".","Blank view",NULL,"0"
"371","CCTV","Others","working","PCR CCTV MMI not",NULL,"0"
"372","RADIO","Others",,"Train radio not in crises mode",NULL,"1"
"373","TVM","Others",,"TVM Not working",NULL,"1"
"374","UPS","Others","0","Showing SSPS Alarm",NULL,"1"
"375","GATE","Others",,"Not accepting QR",NULL,"1"
"376","EPABX","Others","0","Extension not working",NULL,"1"
"377","PAS/PIDS","Others","0","Server not on LAN",NULL,"1"
"378","CCTV","Hardware","Headwall TO monitor","Headwall TO monitor not working at DN PF",NULL,"0"
"379","RADIO","Others","0","Out of service",NULL,"1"
"380","SC","Others",,"ITPC Not working",NULL,"0"
"381","IT PERSONAL COMPUTER","Others","0","Printer not working",NULL,"1"
"382","RCTM","Others","0","Out of service",NULL,"1"
"383","RADIO","Others","0","Other/Unknown error",NULL,"1"
"384","RADIO","Others","BCGN-OKBS UP","PAD -1 of  M-1 car operated by RS staff, call received at IC panel but no communication established between RS &amp; IC  staff.",NULL,"0"
"385","RADIO","Others","KJMD-OKNS DN","PAD-3 of DM-1 car operated by RS staff  but no call received at IC panel.",NULL,"0"
"386","PAS/PIDS","Others","0","Showing Wrong Destination",NULL,"1"
"387","SDH/MPLS","Software","0","Other/Unknown error",NULL,"1"
"388","PAS/PIDS","Software","0","Hanged",NULL,"0"
"389","TELEPHONE","Hardware","0","Recording not available",NULL,"1"
"390","EPABX","Hardware","0","Telephone not working",NULL,"0"
"391","IT SWITCH","Software","0","switch hang",NULL,"1"
"393","EPABX","Others","0","IPPBX System not working",NULL,"1"
"394","CCTV","Others","0","Encoder module faulty",NULL,"1"
"395","SDH","Others","0","Showing High temp. alarm",NULL,"1"
"396","RADIO","Others","0","Live PA not working",NULL,"1"
"397","RADIO","Others","0","PAD/PEC Failure",NULL,"1"
"398","PAS/PIDS","Others","0","PIDS blank",NULL,"1"
"399","CLOCK","Others","0","All Clock not working",NULL,"1"
"400","CCTV","Others","0","Not working",NULL,"0"
"401","SDH","Others","0","Loss of signal alarm",NULL,"1"
"402","All AFC","Others","0","Out of order",NULL,"1"
"403","CCTV","Hardware","Out of LAN","NVE 1008 CA -B",NULL,"0"
"404","CCTV","Hardware","NVE1002CA-B","Out of LAN",NULL,"0"
"405","IT PERSONAL COMPUTER","Others","0","Internet not working",NULL,"1"
"406","PAS/PIDS","Others","0","MMI not working",NULL,"0"
"407","TOM","Others","0","Printer not working",NULL,"1"
"408","CCTV","Others","lOSS","v.d",NULL,"0"
"409","CCTV","Others","0","Other/Unknown error",NULL,"1"
"410","SDH/MPLS","Others","0","High Temprature",NULL,"1"
"411","SDH","Others","0","Link Down alarm",NULL,"1"
"412","RADIO","Others","0","Showing emergency in group",NULL,"1"
"413","PAS/PIDS","Others","0","hang",NULL,"0"
"414","GATE","Others",,"Flap not opening",NULL,"1"
"415","GATE","Others","0","Showing Error",NULL,"1"
"416","RADIO","Others","0","Zetron not working",NULL,"1"
"417","TOM","Others","0","Printer not working",NULL,"0"
"418","TELEPHONE","Others","0","No Display",NULL,"1"
"419","TELEPHONE","Others","0","DLC not working",NULL,"1"
"420","CCTV","Others","0","No view",NULL,"0"
"421","GATE","Others","0","Swing barrier gate not working",NULL,"1"
"423","GATE","Others","0","Out of order",NULL,"1"
"424","GATE","Others","0","display not working",NULL,"0"
"425","TOM","Others","0","south cc-80 mouse not working",NULL,"0"
"426","AVM","Others","0","cc-80 entry unpaid avm not working",NULL,"0"
"427","AVM","Others","0","cc-80 entry paid avm not working",NULL,"0"
"428","CCTV","Others","0","c-57  not working",NULL,"0"
"429","TVM","Others",,"cash struck and not showing in overpayment",NULL,"0"
"430","PAS/PIDS","Others","0","pids/pas mmi not working",NULL,"0"
"431","IT PERSONAL COMPUTER","Others","0","IT PC not working",NULL,"1"
"432","SDH","Others","0","sdh E1 -no 3 Loss of signal",NULL,"0"
"433","TVM","Others",,"Not Dispensing Coin",NULL,"1"
"434","CCTV","Others","0","PTZ camera not working",NULL,"1"
"435","TELEPHONE","Others","0","Telephone not working",NULL,"1"
"436","CCTV","Others","0","No view",NULL,"0"
"437","SDH","Others","0","SCADA Communication Fail",NULL,"1"
"438","CCTV","Others","0","No view",NULL,"0"
"439","EPABX","Others","0","Emergency phone not working",NULL,"1"
"440","TVM","Others",,"Other/Unknown error",NULL,"1"
"441","RADIO","Others","0","PAD/PEC failure",NULL,"0"
"442","CCTV","Others","0","Black View",NULL,"1"
"443","CCTV","Others","0","Mouse not working",NULL,"1"
"444","MPLS","Others","0","Other/Unknown error",NULL,"1"
"445","OTHERS","Others","0","Access door not working",NULL,"1"
"446","All AFC","Others","0","QR ticket not generating for UPI payment",NULL,"1"
"447","All AFC","Others","0","Other/Unknown",NULL,"1"
"448","GATE","Others","0","Showing 210 Error",NULL,"1"
"449","CCTV","Others",,"No view",NULL,"1"
"450","TOM","Hardware","1","System not working",NULL,"1"
"451","PAS/PIDS","Others","0","Other/Unknown",NULL,"1"
"452","EPABX","Others","0","Keyboard/Mouse not working",NULL,"1"
"453","UPS","Others","0","Other/Unknown",NULL,"1"
"454","TVM","Others",,"QR not generate for UPI paymant",NULL,"1"
"455","CLOCK","Others","0","Not on LAN",NULL,"1"
"456","IT","Others","0","Printer not working",NULL,"1"
"457","CCTV","Software","CCTV CISF","Camera not working",NULL,"1"
"458","PAS/PIDS","Hardware",,"Paging concole not working",NULL,"1"
"459","UPS","Others","0","NOT ON LAN",NULL,"1"
"460","SDH/MPLS","Others",,"Loss of signal",NULL,"1"
"461","IT PRINTER","Hardware","20001","Low Cartridge",NULL,"1"
"462","EPABX","Software","Lift intercom","Intercom not working",NULL,"1"
"463","IT PERSONAL COMPUTER","Others","0","Mouse not working",NULL,"1"
"464","IT PERSONAL COMPUTER","Others","0","Keyboard not working",NULL,"1"
"465","SC","Others",,"Other/Unknown error",NULL,"1"
"466","TELEPHONE","Others","0","Other/Unknown error",NULL,"1"
"467","EPABX","Software","CVRS","Phone recording not available",NULL,"1"
"468","AFC SWITCH","Others","0","Others/Unknown Error",NULL,"1"
"469","IT System","Hardware","9191","IT Issue",NULL,"1"
"470","GATE","Software","041","Showing E041",NULL,"1"
"471","GATE","Software","002","Showing E002 on gate",NULL,"1"
"472","TOM","Software","TOM_30","Rs.500 mismatch at end of shift",NULL,"1"
"473","TELEPHONE","Hardware","LIFT","INTERCOM NOT WORKING",NULL,"1"
"474","GATE","Hardware","FLAP STUCK","AG",NULL,"1"
"475","OTHERS","Others","0","Others/Unknown",NULL,"1"
"476","IT SWITCH","Software","1","Switch Hang issue",NULL,"1"
"477","Visual Alarm System","Others","0","Remote not working",NULL,"1"
"478","Visual Alarm System","Others","0","Visual alarm system not working",NULL,"1"
"479","Tele/AFC","Others","Others/Unknown","others",NULL,"1"
"480","NETWORKING","Others","Not on LAN","Not on LAN",NULL,"1"
