station,system,subsystem,schedule_name,total_pm,on_time,late,avg_days_late,compliance_pct
AHRM,AFC,GATE,MONTHLY,271,153,118,-1.0,56.5
AHRM,AFC,RCTM,BI-WEEKLY,33,19,14,13.3,57.6
AHRM,AFC,RCTM,MONTHLY,20,12,8,17.2,60.0
AHRM,AFC,SWING BARRIER,MONTHLY,12,7,5,2.6,58.3
AHRM,AFC,TOM,QUARTERLY,14,12,2,-30.0,85.7
AHRM,AFC,TVM,BI-WEEKLY,173,89,84,14.5,51.4
AHRM,AFC,TVM,MONTHLY,114,76,38,15.5,66.7
AHRM,TELECOM,CCTV,QUARTERLY,634,503,131,-37.3,79.3
AHRM,TELECOM,CCTV,YEARLY,1,1,0,-365.0,100.0
AHRM,TELECOM,CLOCK,HALF YEARLY,2,1,1,-19.5,50.0
AHRM,TELECOM,CLOCK,QUARTERLY,86,57,29,-2.8,66.3
AHRM,TELECOM,EPABX,HALF YEARLY,4,4,0,-100.8,100.0
AHRM,TELECOM,EPABX,MONTHLY,21,9,12,18.8,42.9
AHRM,TELECOM,EPABX,QUARTERLY,125,73,52,-11.8,58.4
AHRM,TELECOM,PAS/PIDS,HALF YEARLY,20,16,4,-74.8,80.0
AHRM,TELECOM,PAS/PIDS,MONTHLY,12,2,10,63.7,16.7
AHRM,TELECOM,PAS/PIDS,QUARTERLY,741,444,297,-9.8,59.9
AHRM,TELECOM,RADIO,HALF YEARLY,9,7,2,-76.4,77.8
AHRM,TELECOM,RADIO,MONTHLY,12,7,5,10.9,58.3
AHRM,TELECOM,SDH/MPLS,HALF YEARLY,2,1,1,-50.5,50.0
AHRM,TELECOM,SDH/MPLS,MONTHLY,3,0,3,75.0,0.0
AHRM,TELECOM,SDH/MPLS,QUARTERLY,2,1,1,46.5,50.0
AHRM,TELECOM,SMPS,HALF YEARLY,2,2,0,-81.0,100.0
AHRM,TELECOM,SMPS,MONTHLY,36,22,14,-2.8,61.1
AHRM,TELECOM,TER ROOM,MONTHLY,2,1,1,-2.5,50.0
AHRM,TELECOM,UPS,HALF YEARLY,2,2,0,-180.0,100.0
AHRM,TELECOM,UPS,MONTHLY,5,1,4,37.4,20.0
AIIM,AFC,AFC SWITCH,QUARTERLY,9,6,3,-14.3,66.7
AIIM,AFC,AVM,MONTHLY,10,0,10,60.5,0.0
AIIM,AFC,EC,QUARTERLY,6,0,6,50.0,0.0
AIIM,AFC,EFO,QUARTERLY,10,9,1,-43.7,90.0
AIIM,AFC,EMERGENCY SWITCH,MONTHLY,7,1,6,38.6,14.3
AIIM,AFC,GATE,MONTHLY,192,57,135,7.3,29.7
AIIM,AFC,SWING BARRIER,MONTHLY,4,0,4,48.5,0.0
AIIM,AFC,TOM,QUARTERLY,47,39,8,-49.0,83.0
AIIM,AFC,TVM,MONTHLY,30,15,15,-0.7,50.0
AIIM,IT,IT SWITCH,QUARTERLY,7,6,1,-70.0,85.7
AIIM,TELECOM,CCTV,QUARTERLY,272,190,82,-11.6,69.9
AIIM,TELECOM,CLOCK,QUARTERLY,28,4,24,36.3,14.3
AIIM,TELECOM,EPABX,MONTHLY,12,0,12,37.7,0.0
AIIM,TELECOM,EPABX,QUARTERLY,7,4,3,-10.3,57.1
AIIM,TELECOM,NETWORKING,QUARTERLY,2,0,2,27.0,0.0
AIIM,TELECOM,PAS/PIDS,QUARTERLY,744,497,247,-13.4,66.8
AIIM,TELECOM,RADIO,MONTHLY,4,1,3,27.5,25.0
AIIM,TELECOM,SMPS,MONTHLY,6,0,6,39.7,0.0
AIIM,TELECOM,UPS,HALF YEARLY,3,3,0,-180.0,100.0
AIIM,TELECOM,UPS,MONTHLY,5,0,5,40.4,0.0
AJDT,TELECOM,CCTV,QUARTERLY,63,0,63,94.2,0.0
AJDT,TELECOM,CLOCK,HALF YEARLY,2,2,0,-52.0,100.0
AJDT,TELECOM,CLOCK,QUARTERLY,47,3,44,84.8,6.4
AJDT,TELECOM,EARTH PIT,QUARTERLY,8,4,4,32.8,50.0
AJDT,TELECOM,EARTH PIT,YEARLY,2,0,2,12.0,0.0
AJDT,TELECOM,EPABX,HALF YEARLY,1,1,0,-52.0,100.0
AJDT,TELECOM,EPABX,QUARTERLY,1,0,1,95.0,0.0
AJDT,TELECOM,PAS/PIDS,HALF YEARLY,19,19,0,-52.0,100.0
AJDT,TELECOM,PAS/PIDS,MONTHLY,16,10,6,-1.1,62.5
AJDT,TELECOM,PAS/PIDS,QUARTERLY,545,429,116,-18.7,78.7
AJDT,TELECOM,RADIO,HALF YEARLY,2,2,0,-52.0,100.0
AJDT,TELECOM,RADIO,MONTHLY,12,6,6,10.2,50.0
AJDT,TELECOM,SDH/MPLS,QUARTERLY,2,1,1,2.5,50.0
AJDT,TELECOM,SMPS,HALF YEARLY,2,2,0,-52.0,100.0
AJDT,TELECOM,SMPS,MONTHLY,30,16,14,2.2,53.3
AJG,AFC,AFC SWITCH,QUARTERLY,18,12,6,-15.8,66.7
AJG,AFC,AVM,MONTHLY,9,3,6,91.0,33.3
AJG,AFC,EC,HALF YEARLY,8,0,8,18.5,0.0
AJG,AFC,EFO,QUARTERLY,12,8,4,-15.8,66.7
AJG,AFC,EMERGENCY SWITCH,MONTHLY,2,0,2,105.0,0.0
AJG,AFC,GATE,MONTHLY,103,53,50,5.5,51.5
AJG,AFC,TOM,QUARTERLY,3,1,2,47.3,33.3
AJG,AFC,TVM,MONTHLY,63,46,17,4.2,73.0
AJG,TELECOM,CCTV,QUARTERLY,139,46,93,28.5,33.1
AJG,TELECOM,CLOCK,QUARTERLY,16,6,10,7.7,37.5
AJG,TELECOM,EPABX,MONTHLY,32,16,16,25.4,50.0
AJG,TELECOM,EPABX,QUARTERLY,4,3,1,-30.5,75.0
AJG,TELECOM,PAS/PIDS,HALF YEARLY,9,0,9,44.0,0.0
AJG,TELECOM,PAS/PIDS,QUARTERLY,397,151,246,18.4,38.0
AJG,TELECOM,RADIO,MONTHLY,5,2,3,46.4,40.0
AJG,TELECOM,SMPS,MONTHLY,22,10,12,11.5,45.5
AJG,TELECOM,TELE SWITCH,QUARTERLY,8,6,2,-28.5,75.0
AJG,TELECOM,UPS,MONTHLY,18,6,12,20.8,33.3
APMN,AFC,AFC ROUTER,QUARTERLY,1,0,1,65.0,0.0
APMN,AFC,AFC SWITCH,QUARTERLY,6,6,0,-18.5,100.0
APMN,AFC,AVM,MONTHLY,9,3,6,8.3,33.3
APMN,AFC,EC,QUARTERLY,5,1,4,0.6,20.0
APMN,AFC,EFO,QUARTERLY,4,2,2,15.0,50.0
APMN,AFC,EMERGENCY SWITCH,MONTHLY,5,1,4,16.0,20.0
APMN,AFC,GATE,MONTHLY,48,30,18,-0.4,62.5
APMN,AFC,SWING BARRIER,MONTHLY,6,2,4,8.3,33.3
APMN,AFC,TOM,QUARTERLY,6,4,2,-20.0,66.7
APMN,AFC,TVM,MONTHLY,28,24,4,-0.4,85.7
APMN,TELECOM,CCTV,HALF YEARLY,10,9,1,-89.7,90.0
APMN,TELECOM,CCTV,QUARTERLY,130,72,58,-15.6,55.4
APMN,TELECOM,CLOCK,QUARTERLY,52,43,9,-48.4,82.7
APMN,TELECOM,EARTH PIT,QUARTERLY,4,2,2,-31.5,50.0
APMN,TELECOM,EPABX,MONTHLY,24,20,4,8.5,83.3
APMN,TELECOM,EPABX,QUARTERLY,1,0,1,27.0,0.0
APMN,TELECOM,PAS/PIDS,HALF YEARLY,3,3,0,-107.0,100.0
APMN,TELECOM,PAS/PIDS,MONTHLY,3,1,2,42.7,33.3
APMN,TELECOM,PAS/PIDS,QUARTERLY,150,132,18,-62.5,88.0
APMN,TELECOM,PEST CONTROL,MONTHLY,5,4,1,10.6,80.0
APMN,TELECOM,RADIO,MONTHLY,7,6,1,3.0,85.7
APMN,TELECOM,SDH/MPLS,QUARTERLY,3,1,2,6.7,33.3
APMN,TELECOM,SMPS,MONTHLY,15,9,6,-0.9,60.0
APMN,TELECOM,TELE ROUTER,QUARTERLY,2,0,2,27.0,0.0
APMN,TELECOM,TELE SWITCH,QUARTERLY,2,0,2,27.0,0.0
APOT,AFC,AFC SWITCH,QUARTERLY,4,1,3,131.2,25.0
APOT,AFC,AVM,MONTHLY,18,10,8,-4.4,55.6
APOT,AFC,GATE,MONTHLY,143,59,84,18.5,41.3
APOT,AFC,SC,HALF YEARLY,1,1,0,-67.0,100.0
APOT,AFC,TOM,QUARTERLY,27,15,12,-4.9,55.6
APOT,AFC,TVM,BI-WEEKLY,14,8,6,6.9,57.1
APOT,AFC,TVM,MONTHLY,31,13,18,6.4,41.9
APOT,TELECOM,CCTV,HALF YEARLY,281,277,4,-55.1,98.6
APOT,TELECOM,CCTV,MONTHLY,31,0,31,26.5,0.0
APOT,TELECOM,CCTV,QUARTERLY,816,666,150,-14.6,81.6
APOT,TELECOM,CLOCK,HALF YEARLY,1,0,1,71.0,0.0
APOT,TELECOM,CLOCK,QUARTERLY,20,10,10,35.4,50.0
APOT,TELECOM,EPABX,QUARTERLY,72,51,21,-11.9,70.8
APOT,TELECOM,PAS/PIDS,HALF YEARLY,4,2,2,-28.5,50.0
APOT,TELECOM,PAS/PIDS,MONTHLY,7,3,4,46.0,42.9
APOT,TELECOM,PAS/PIDS,QUARTERLY,1037,569,468,-2.5,54.9
APOT,TELECOM,RADIO,HALF YEARLY,5,2,3,-63.4,40.0
APOT,TELECOM,RADIO,MONTHLY,4,2,2,26.2,50.0
APOT,TELECOM,SDH/MPLS,MONTHLY,2,1,1,-12.0,50.0
APOT,TELECOM,SDH/MPLS,QUARTERLY,2,2,0,-87.5,100.0
APOT,TELECOM,SMPS,MONTHLY,2,0,2,16.0,0.0
APOT,TELECOM,TELE SWITCH,QUARTERLY,4,0,4,101.0,0.0
APOT,TELECOM,UPS,HALF YEARLY,4,3,1,-112.2,75.0
APOT,TELECOM,UPS,MONTHLY,6,0,6,73.0,0.0
ASDM,AFC,AFC ROUTER,QUARTERLY,1,0,1,121.0,0.0
ASDM,AFC,AFC SWITCH,QUARTERLY,8,5,3,4.9,62.5
ASDM,AFC,AVM,MONTHLY,29,11,18,25.9,37.9
ASDM,AFC,EC,QUARTERLY,7,5,2,6.4,71.4
ASDM,AFC,EFO,QUARTERLY,8,5,3,-0.9,62.5
ASDM,AFC,EMERGENCY SWITCH,MONTHLY,4,1,3,87.8,25.0
ASDM,AFC,GATE,MONTHLY,284,187,97,-1.5,65.8
ASDM,AFC,SWING BARRIER,MONTHLY,3,1,2,140.0,33.3
ASDM,AFC,TOM,QUARTERLY,21,11,10,8.5,52.4
ASDM,AFC,TVM,BI-WEEKLY,71,48,23,4.3,67.6
ASDM,AFC,TVM,MONTHLY,13,4,9,62.4,30.8
ASDM,TELECOM,CCTV,MONTHLY,4,2,2,67.0,50.0
ASDM,TELECOM,CCTV,QUARTERLY,217,117,100,62.4,53.9
ASDM,TELECOM,CLOCK,HALF YEARLY,10,10,0,-66.3,100.0
ASDM,TELECOM,CLOCK,QUARTERLY,49,28,21,41.0,57.1
ASDM,TELECOM,EARTH PIT,QUARTERLY,2,0,2,314.0,0.0
ASDM,TELECOM,EPABX,HALF YEARLY,1,0,1,199.0,0.0
ASDM,TELECOM,EPABX,MONTHLY,37,12,25,22.6,32.4
ASDM,TELECOM,EPABX,QUARTERLY,20,15,5,-19.6,75.0
ASDM,TELECOM,PAS/PIDS,HALF YEARLY,6,4,2,-57.7,66.7
ASDM,TELECOM,PAS/PIDS,MONTHLY,29,1,28,15.4,3.4
ASDM,TELECOM,PAS/PIDS,QUARTERLY,417,232,185,-25.3,55.6
ASDM,TELECOM,RADIO,MONTHLY,12,5,7,9.5,41.7
ASDM,TELECOM,SMPS,MONTHLY,32,18,14,2.0,56.2
ASDM,TELECOM,TELE ROUTER,QUARTERLY,6,0,6,40.0,0.0
ASDM,TELECOM,TELE SWITCH,QUARTERLY,6,0,6,40.0,0.0
ASDM,TELECOM,UPS,HALF YEARLY,4,4,0,-164.5,100.0
ASDM,TELECOM,UPS,MONTHLY,22,13,9,14.6,59.1
ATHA,AFC,AFC SWITCH,QUARTERLY,8,8,0,-26.5,100.0
ATHA,AFC,AFC SWITCH,YEARLY,4,4,0,-271.0,100.0
ATHA,AFC,AVM,MONTHLY,44,16,28,15.8,36.4
ATHA,AFC,EC,QUARTERLY,8,8,0,-26.5,100.0
ATHA,AFC,EFO,QUARTERLY,14,9,5,-19.3,64.3
ATHA,AFC,EMERGENCY SWITCH,MONTHLY,2,0,2,96.0,0.0
ATHA,AFC,GATE,MONTHLY,116,57,59,4.7,49.1
ATHA,AFC,RCTM,BI-WEEKLY,32,0,32,16.8,0.0
ATHA,AFC,RCTM,MONTHLY,10,1,9,53.3,10.0
ATHA,AFC,SWING BARRIER,MONTHLY,21,8,13,13.7,38.1
ATHA,AFC,TOM,QUARTERLY,20,12,8,-6.2,60.0
ATHA,AFC,TVM,BI-WEEKLY,62,0,62,17.0,0.0
ATHA,AFC,TVM,MONTHLY,20,2,18,53.5,10.0
ATHA,TELECOM,CCTV,HALF YEARLY,4,4,0,-82.5,100.0
ATHA,TELECOM,CCTV,QUARTERLY,153,90,63,8.2,58.8
ATHA,TELECOM,CLOCK,QUARTERLY,17,6,11,56.8,35.3
ATHA,TELECOM,EPABX,HALF YEARLY,1,1,0,-179.0,100.0
ATHA,TELECOM,EPABX,QUARTERLY,7,5,2,-34.1,71.4
ATHA,TELECOM,PAS/PIDS,HALF YEARLY,8,0,8,114.0,0.0
ATHA,TELECOM,PAS/PIDS,MONTHLY,80,0,80,203.5,0.0
ATHA,TELECOM,PAS/PIDS,QUARTERLY,325,212,113,-14.9,65.2
ATHA,TELECOM,RADIO,MONTHLY,9,3,6,25.6,33.3
ATHA,TELECOM,SDH/MPLS,QUARTERLY,2,1,1,40.0,50.0
ATHA,TELECOM,SMPS,HALF YEARLY,4,2,2,-33.5,50.0
ATHA,TELECOM,SMPS,MONTHLY,32,20,12,1.5,62.5
ATHA,TELECOM,TER ROOM,MONTHLY,1,0,1,7.0,0.0
ATHA,TELECOM,UPS,HALF YEARLY,7,5,2,-49.4,71.4
ATHA,TELECOM,UPS,MONTHLY,27,14,13,16.3,51.9
ATHA,TELECOM,UPS,YEARLY,1,0,1,292.0,0.0
AVIT4,AFC,AFC SWITCH,QUARTERLY,30,30,0,-55.8,100.0
AVIT4,AFC,AVM,MONTHLY,20,4,16,20.8,20.0
AVIT4,AFC,EC,HALF YEARLY,7,4,3,-21.0,57.1
AVIT4,AFC,EFO,QUARTERLY,8,4,4,25.0,50.0
AVIT4,AFC,EMERGENCY SWITCH,MONTHLY,8,4,4,37.8,50.0
AVIT4,AFC,GATE,MONTHLY,253,178,75,-1.8,70.4
AVIT4,AFC,SC,HALF YEARLY,3,2,1,-66.0,66.7
AVIT4,AFC,SWING BARRIER,MONTHLY,10,2,8,20.8,20.0
AVIT4,TELECOM,CCTV,HALF YEARLY,44,0,44,11.7,0.0
AVIT4,TELECOM,CCTV,QUARTERLY,313,213,100,-11.1,68.1
AVIT4,TELECOM,CLOCK,QUARTERLY,114,74,40,-26.7,64.9
AVIT4,TELECOM,EARTH PIT,QUARTERLY,7,5,2,10.0,71.4
AVIT4,TELECOM,EARTH PIT,YEARLY,2,2,0,-342.0,100.0
AVIT4,TELECOM,EPABX,HALF YEARLY,1,0,1,18.0,0.0
AVIT4,TELECOM,EPABX,MONTHLY,48,30,18,0.3,62.5
AVIT4,TELECOM,EPABX,QUARTERLY,13,8,5,-18.1,61.5
AVIT4,TELECOM,EPABX,YEARLY,1,1,0,-1.0,100.0
AVIT4,TELECOM,NETWORKING,QUARTERLY,6,4,2,1.0,66.7
AVIT4,TELECOM,NETWORKING,YEARLY,2,2,0,-8.0,100.0
AVIT4,TELECOM,PAS/PIDS,HALF YEARLY,82,70,12,-114.3,85.4
AVIT4,TELECOM,PAS/PIDS,MONTHLY,27,17,10,5.0,63.0
AVIT4,TELECOM,PAS/PIDS,QUARTERLY,943,566,377,-12.3,60.0
AVIT4,TELECOM,PAS/PIDS,YEARLY,1,0,1,12.0,0.0
AVIT4,TELECOM,PEST CONTROL,MONTHLY,8,5,3,-0.9,62.5
AVIT4,TELECOM,PEST CONTROL,QUARTERLY,2,1,1,-8.0,50.0
AVIT4,TELECOM,RADIO,MONTHLY,14,8,6,8.1,57.1
AVIT4,TELECOM,SDH/MPLS,HALF YEARLY,1,0,1,26.0,0.0
AVIT4,TELECOM,SDH/MPLS,QUARTERLY,3,2,1,9.0,66.7
AVIT4,TELECOM,SMPS,HALF YEARLY,6,4,2,-44.7,66.7
AVIT4,TELECOM,SMPS,MONTHLY,38,26,12,-3.1,68.4
AVIT7,AFC,AFC ROUTER,QUARTERLY,1,0,1,97.0,0.0
AVIT7,AFC,AFC SWITCH,QUARTERLY,10,5,5,89.3,50.0
AVIT7,AFC,AVM,MONTHLY,16,8,8,35.5,50.0
AVIT7,AFC,EC,QUARTERLY,4,0,4,97.0,0.0
AVIT7,AFC,EFO,QUARTERLY,8,8,0,-33.8,100.0
AVIT7,AFC,EMERGENCY SWITCH,MONTHLY,8,4,4,35.5,50.0
AVIT7,AFC,GATE,MONTHLY,180,90,90,1.7,50.0
AVIT7,AFC,RCTM,BI-WEEKLY,15,6,9,15.3,40.0
AVIT7,AFC,RCTM,MONTHLY,10,7,3,17.9,70.0
AVIT7,AFC,SCVM,BI-WEEKLY,31,10,21,16.0,32.3
AVIT7,AFC,SCVM,MONTHLY,19,12,7,20.4,63.2
AVIT7,AFC,SWING BARRIER,MONTHLY,4,2,2,35.5,50.0
AVIT7,AFC,TOM,QUARTERLY,44,33,11,8.0,75.0
AVIT7,AFC,TVM,BI-WEEKLY,63,22,41,15.2,34.9
AVIT7,AFC,TVM,MONTHLY,33,19,14,27.4,57.6
AVIT7,TELECOM,CCTV,HALF YEARLY,56,28,28,9.0,50.0
AVIT7,TELECOM,CCTV,QUARTERLY,569,507,62,-47.9,89.1
AVIT7,TELECOM,CCTV,YEARLY,4,4,0,-245.0,100.0
AVIT7,TELECOM,CLOCK,HALF YEARLY,4,4,0,-46.0,100.0
AVIT7,TELECOM,CLOCK,QUARTERLY,129,111,18,-49.8,86.0
AVIT7,TELECOM,EARTH PIT,QUARTERLY,14,6,8,-17.6,42.9
AVIT7,TELECOM,EPABX,HALF YEARLY,6,2,4,12.2,33.3
AVIT7,TELECOM,EPABX,MONTHLY,8,4,4,72.5,50.0
AVIT7,TELECOM,EPABX,QUARTERLY,31,23,8,-33.8,74.2
AVIT7,TELECOM,PAS/PIDS,HALF YEARLY,42,34,8,-32.7,81.0
AVIT7,TELECOM,PAS/PIDS,MONTHLY,469,119,350,57.7,25.4
AVIT7,TELECOM,PAS/PIDS,QUARTERLY,837,705,132,-29.3,84.2
AVIT7,TELECOM,RADIO,HALF YEARLY,3,2,1,-39.7,66.7
AVIT7,TELECOM,RADIO,MONTHLY,4,2,2,102.8,50.0
AVIT7,TELECOM,RADIO,QUARTERLY,1,0,1,144.0,0.0
AVIT7,TELECOM,SDH/MPLS,QUARTERLY,3,3,0,-27.0,100.0
AVIT7,TELECOM,SMPS,HALF YEARLY,3,2,1,-10.0,66.7
AVIT7,TELECOM,SMPS,MONTHLY,36,26,10,-5.8,72.2
AVIT7,TELECOM,UPS,HALF YEARLY,1,1,0,-115.0,100.0
AVIT7,TELECOM,UPS,MONTHLY,9,1,8,62.6,11.1
AZU2,AFC,AFC SWITCH,QUARTERLY,7,1,6,54.0,14.3
AZU2,AFC,AVM,MONTHLY,37,12,25,31.5,32.4
AZU2,AFC,EC,HALF YEARLY,7,4,3,-38.6,57.1
AZU2,AFC,EC,QUARTERLY,4,0,4,246.0,0.0
AZU2,AFC,EFO,QUARTERLY,8,4,4,11.5,50.0
AZU2,AFC,GATE,MONTHLY,215,128,87,4.9,59.5
AZU2,AFC,SC,HALF YEARLY,2,2,0,-78.0,100.0
AZU2,AFC,SWING BARRIER,MONTHLY,10,2,8,16.4,20.0
AZU2,AFC,TOM,QUARTERLY,16,8,8,11.5,50.0
AZU2,AFC,TVM,BI-WEEKLY,30,21,9,0.4,70.0
AZU2,AFC,TVM,MONTHLY,27,15,12,3.6,55.6
AZU2,TELECOM,CCTV,HALF YEARLY,108,56,52,-20.8,51.9
AZU2,TELECOM,CCTV,MONTHLY,2,0,2,20.0,0.0
AZU2,TELECOM,CCTV,QUARTERLY,667,603,64,-45.3,90.4
AZU2,TELECOM,CCTV,YEARLY,14,14,0,-365.0,100.0
AZU2,TELECOM,CLOCK,HALF YEARLY,19,2,17,33.6,10.5
AZU2,TELECOM,CLOCK,QUARTERLY,71,48,23,-8.5,67.6
AZU2,TELECOM,EPABX,HALF YEARLY,2,1,1,15.5,50.0
AZU2,TELECOM,EPABX,MONTHLY,20,12,8,3.6,60.0
AZU2,TELECOM,EPABX,QUARTERLY,8,7,1,-35.0,87.5
AZU2,TELECOM,EPABX,YEARLY,1,1,0,-358.0,100.0
AZU2,TELECOM,PAS/PIDS,HALF YEARLY,29,15,14,-5.8,51.7
AZU2,TELECOM,PAS/PIDS,MONTHLY,247,65,182,120.4,26.3
AZU2,TELECOM,PAS/PIDS,QUARTERLY,752,547,205,-9.6,72.7
AZU2,TELECOM,PAS/PIDS,YEARLY,1,1,0,-267.0,100.0
AZU2,TELECOM,RADIO,HALF YEARLY,2,0,2,86.5,0.0
AZU2,TELECOM,RADIO,MONTHLY,17,10,7,9.1,58.8
AZU2,TELECOM,RADIO,QUARTERLY,2,0,2,61.0,0.0
AZU2,TELECOM,SDH/MPLS,HALF YEARLY,1,1,0,-75.0,100.0
AZU2,TELECOM,SDH/MPLS,QUARTERLY,3,2,1,-8.7,66.7
AZU2,TELECOM,SMPS,HALF YEARLY,4,2,2,-8.5,50.0
AZU2,TELECOM,SMPS,MONTHLY,36,24,12,-0.1,66.7
AZU2,TELECOM,TELE SWITCH,HALF YEARLY,4,4,0,-127.5,100.0
AZU2,TELECOM,TELE SWITCH,QUARTERLY,10,6,4,-11.8,60.0
AZU2,TELECOM,TER ROOM,MONTHLY,2,1,1,-9.5,50.0
AZU2,TELECOM,UPS,HALF YEARLY,3,2,1,-65.7,66.7
AZU2,TELECOM,UPS,MONTHLY,36,22,14,5.1,61.1
AZU2,TELECOM,UPS,YEARLY,4,4,0,-116.0,100.0
AZU7,AFC,AFC ROUTER,QUARTERLY,2,1,1,37.5,50.0
AZU7,AFC,AFC ROUTER,YEARLY,1,1,0,-365.0,100.0
AZU7,AFC,AFC SWITCH,QUARTERLY,26,21,5,-31.2,80.8
AZU7,AFC,AVM,MONTHLY,38,24,14,5.0,63.2
AZU7,AFC,CSM,MONTHLY,1,0,1,24.0,0.0
AZU7,AFC,EC,HALF YEARLY,11,4,7,20.2,36.4
AZU7,AFC,EFO,QUARTERLY,12,10,2,-10.8,83.3
AZU7,AFC,EMERGENCY SWITCH,MONTHLY,11,2,9,38.7,18.2
AZU7,AFC,GATE,MONTHLY,206,110,96,8.3,53.4
AZU7,AFC,RCTM,BI-WEEKLY,59,51,8,2.5,86.4
AZU7,AFC,RCTM,MONTHLY,6,6,0,-5.5,100.0
AZU7,AFC,SWING BARRIER,MONTHLY,17,5,12,24.0,29.4
AZU7,AFC,TOM,QUARTERLY,13,11,2,-16.9,84.6
AZU7,AFC,TVM,BI-WEEKLY,110,90,20,3.4,81.8
AZU7,AFC,TVM,MONTHLY,20,12,8,58.4,60.0
AZU7,TELECOM,CCTV,HALF YEARLY,64,64,0,-23.4,100.0
AZU7,TELECOM,CCTV,MONTHLY,7,0,7,144.0,0.0
AZU7,TELECOM,CCTV,QUARTERLY,425,316,109,-19.4,74.4
AZU7,TELECOM,CLOCK,HALF YEARLY,4,2,2,-21.0,50.0
AZU7,TELECOM,CLOCK,MONTHLY,4,2,2,72.5,50.0
AZU7,TELECOM,CLOCK,QUARTERLY,60,35,25,25.9,58.3
AZU7,TELECOM,EPABX,HALF YEARLY,8,8,0,-17.5,100.0
AZU7,TELECOM,EPABX,MONTHLY,26,16,10,28.6,61.5
AZU7,TELECOM,EPABX,QUARTERLY,87,64,23,-13.1,73.6
AZU7,TELECOM,PAS/PIDS,HALF YEARLY,374,368,6,-86.7,98.4
AZU7,TELECOM,PAS/PIDS,MONTHLY,27,4,23,166.5,14.8
AZU7,TELECOM,PAS/PIDS,QUARTERLY,882,595,287,-1.7,67.5
AZU7,TELECOM,PAS/PIDS,YEARLY,2,2,0,-365.0,100.0
AZU7,TELECOM,RADIO,MONTHLY,53,33,20,7.2,62.3
AZU7,TELECOM,RADIO,QUARTERLY,1,0,1,382.0,0.0
AZU7,TELECOM,SDH/MPLS,HALF YEARLY,1,1,0,-33.0,100.0
AZU7,TELECOM,SDH/MPLS,QUARTERLY,1,0,1,64.0,0.0
